fecha_contacto,cliente,forma_pago,ubicacion,m2_referencia,tipologia,sistema_constructivo,tipo_entrega,revestimiento,estado_lead,distancia_km,precio_cotizado
2025-10-07,Lucia Sanchez,CONTADO,MENDIOLAZA,55.6,CABAÑA,E.E,OBRA GRIS,MADERA,POTABLE,22.0,15273000.0
2024-04-27,Maria Romero,PLAN 36-60,ALTA GRACIA,41.5,CABAÑA,E.E,OBRA GRIS,LADRILLO,POTABLE,55.0,12111000.0
2025-08-28,Diego Sanchez,CONTADO,LA PLATA,75.1,MINIMALISTA,S.F,LLAVE EN MANO,LADRILLO,POTABLE,766.0,38360000.0
2025-05-18,Juan Garcia,FINANCIACION PROPIA,BUENOS AIRES,56.9,CABAÑA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,728.0,23055000.0
2025-07-27,Diego Perez,CONTADO,ALTA GRACIA,44.9,CABAÑA,S.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,54.0,22290000.0
2025-03-16,Maria Lopez,PLAN 36-60,MENDIOLAZA,61.9,CABAÑA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,30.0,30818000.0
2024-07-12,Juan Sanchez,CONTADO,ALTA GRACIA,53.5,AMERICANA,S.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,39.0,26817000.0
2025-12-15,Elena Gonzalez,NO SABE,SANTIAGO DEL ESTERO,20.3,AMERICANA,W.F,OBRA GRIS,MADERA,NO LE INTERESA,480.0,7491000.0
2025-01-26,Luis Garcia,FINANCIACION PROPIA,BUENOS AIRES,61.8,MINIMALISTA,E.E,LLAVE EN MANO,MADERA,POTABLE,705.0,24423000.0
2024-01-26,Carla Gonzalez,CONTADO,MENDIOLAZA,34.6,CABAÑA,W.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,41.0,16355000.0
2025-03-10,Pedro Gonzalez,NO SABE,BUENOS AIRES,73.7,AMERICANA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,704.0,21499000.0
2024-06-21,Lucia Romero,CONTADO,BUENOS AIRES,50.2,CABAÑA,W.F,LLAVE EN MANO,MADERA,NO LE INTERESA,682.0,24506000.0
2024-10-26,Maria Gonzalez,PLAN 36-60,CÓRDOBA CAPITAL,70.6,MINIMALISTA,S.F,OBRA GRIS,LADRILLO,POTABLE,9.0,24032000.0
2025-10-06,Carla Rodriguez,FINANCIACION PROPIA,LA PLATA,42.4,CABAÑA,W.F,OBRA GRIS,LADRILLO,NO LE INTERESA,784.0,14130000.0
2024-11-21,Lucia Romero,CONTADO,BUENOS AIRES,,MINIMALISTA,S.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,717.0,28922000.0
2025-02-13,Luis Garcia,NO SABE,SANTIAGO DEL ESTERO,79.2,MINIMALISTA,W.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,440.0,35726000.0
2024-04-27,Ana Martinez,CONTADO,SANTIAGO DEL ESTERO,49.6,AMERICANA,E.E,LLAVE EN MANO,LADRILLO,NO LE INTERESA,449.0,21091000.0
2026-02-25,Jorge Lopez,CONTADO,MENDIOLAZA,43.2,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,34.0,16314000.0
2025-12-24,Diego Perez,FINANCIACION PROPIA,CARLOS PAZ,68.1,AMERICANA,W.F,OBRA GRIS,LADRILLO,POTABLE,36.0,20987000.0
2024-08-12,Ana Rodriguez,FINANCIACION PROPIA,CÓRDOBA CAPITAL,67.7,CABAÑA,W.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,14.0,20828000.0
2025-06-15,Lucia Perez,CONTADO,LA PLATA,44.0,CABAÑA,E.E,LLAVE EN MANO,LADRILLO,POTABLE,739.0,17837000.0
2024-04-22,Pedro Sanchez,CONTADO,LA PLATA,20.0,MINIMALISTA,W.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,749.0,7623000.0
2024-05-19,Elena Sanchez,FINANCIACION PROPIA,LA PLATA,,MINIMALISTA,W.F,OBRA GRIS,LADRILLO,POTABLE,760.0,14930000.0
2025-07-12,Carla Romero,CONTADO,MENDIOLAZA,68.5,CABAÑA,E.E,OBRA GRIS,LADRILLO,VENDIDO,24.0,18928000.0
2024-01-01,Maria Romero,NO SABE,CÓRDOBA CAPITAL,39.5,AMERICANA,S.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,15.0,18581000.0
2024-03-30,Juan Gonzalez,FINANCIACION PROPIA,BUENOS AIRES,54.8,MINIMALISTA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,699.0,15956000.0
2025-10-15,Juan Perez,CONTADO,BUENOS AIRES,41.9,MINIMALISTA,E.E,OBRA GRIS,MADERA,VENDIDO,689.0,12362000.0
2024-11-15,Luis Garcia,CONTADO,MENDIOLAZA,20.0,CABAÑA,W.F,OBRA GRIS,LADRILLO,VENDIDO,45.0,6667000.0
2025-07-03,Diego Rodriguez,PLAN 36-60,LA PLATA,41.5,CABAÑA,E.E,LLAVE EN MANO,LADRILLO,NO LE INTERESA,717.0,17829000.0
2024-05-18,Diego Sanchez,CONTADO,BUENOS AIRES,68.5,MINIMALISTA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,724.0,20827000.0
2025-05-25,Pedro Romero,FINANCIACION PROPIA,ALTA GRACIA,,AMERICANA,W.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,39.0,6803000.0
2024-09-15,Juan Lopez,NO SABE,ALTA GRACIA,60.0,MINIMALISTA,W.F,OBRA GRIS,LADRILLO,POTABLE,56.0,20150000.0
2025-11-03,Lucia Perez,PLAN 36-60,CÓRDOBA CAPITAL,31.3,CABAÑA,S.F,OBRA GRIS,LADRILLO,NO LE INTERESA,28.0,10995000.0
2025-11-20,Pedro Lopez,PLAN 36-60,LA PLATA,67.2,MINIMALISTA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,750.0,19771000.0
2024-01-10,Lucia Sanchez,CONTADO,MENDIOLAZA,69.3,CABAÑA,S.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,41.0,25328000.0
2024-09-17,Maria Gonzalez,PLAN 36-60,CARLOS PAZ,,MINIMALISTA,S.F,OBRA GRIS,LADRILLO,NO LE INTERESA,36.0,18315000.0
2025-10-11,Juan Sanchez,PLAN 36-60,CARLOS PAZ,51.6,CABAÑA,S.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,34.0,24814000.0
2024-06-20,Juan Perez,PLAN 36-60,CARLOS PAZ,38.9,CABAÑA,S.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,38.0,19241000.0
2024-01-13,Elena Romero,CONTADO,ALTA GRACIA,28.1,AMERICANA,E.E,LLAVE EN MANO,LADRILLO,NO LE INTERESA,44.0,11627000.0
2024-06-16,Elena Romero,FINANCIACION PROPIA,MENDIOLAZA,89.0,CABAÑA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,30.0,36154000.0
2025-10-03,Diego Martinez,CONTADO,CARLOS PAZ,37.7,MINIMALISTA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,39.0,14512000.0
2025-08-18,Juan Garcia,FINANCIACION PROPIA,LA PLATA,86.4,CABAÑA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,751.0,45431000.0
2024-11-16,Ana Gonzalez,FINANCIACION PROPIA,LA PLATA,37.8,MINIMALISTA,W.F,OBRA GRIS,PIEDRA NATURAL,VENDIDO,781.0,13986000.0
2024-11-14,Diego Perez,PLAN 36-60,CARLOS PAZ,65.5,AMERICANA,E.E,LLAVE EN MANO,MADERA,POTABLE,36.0,25038000.0
2025-09-04,Ana Rodriguez,CONTADO,SANTIAGO DEL ESTERO,32.2,MINIMALISTA,S.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,402.0,17029000.0
2024-11-24,Juan Lopez,PLAN 36-60,CARLOS PAZ,65.5,AMERICANA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,42.0,33390000.0
2026-02-23,Elena Sanchez,CONTADO,SANTIAGO DEL ESTERO,48.5,AMERICANA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,445.0,23308000.0
2026-02-15,Maria Romero,FINANCIACION PROPIA,CÓRDOBA CAPITAL,48.7,CABAÑA,S.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,7.0,17345000.0
2025-07-03,Maria Romero,CONTADO,CÓRDOBA CAPITAL,67.2,AMERICANA,S.F,OBRA GRIS,,POTABLE,8.0,23074000.0
2025-02-22,Elena Rodriguez,CONTADO,LA PLATA,45.6,MINIMALISTA,S.F,OBRA GRIS,LADRILLO,POTABLE,761.0,17400000.0
2025-08-28,Elena Gonzalez,CONTADO,MENDIOLAZA,26.4,AMERICANA,E.E,OBRA GRIS,LADRILLO,POTABLE,26.0,7738000.0
2024-04-04,Elena Rodriguez,FINANCIACION PROPIA,ALTA GRACIA,70.2,AMERICANA,W.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,57.0,31728000.0
2025-08-03,Luis Romero,PLAN 36-60,MENDIOLAZA,32.1,CABAÑA,E.E,OBRA GRIS,MADERA,NO LE INTERESA,24.0,8947000.0
2024-11-13,Carla Lopez,PLAN 36-60,LA PLATA,65.3,MINIMALISTA,E.E,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,712.0,27790000.0
2024-08-23,Lucia Sanchez,PLAN 36-60,LA PLATA,74.5,AMERICANA,S.F,OBRA GRIS,MADERA,POTABLE,755.0,28497000.0
2024-11-29,Jorge Gonzalez,FINANCIACION PROPIA,MENDIOLAZA,47.5,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,45.0,17869000.0
2025-01-10,Maria Rodriguez,CONTADO,ALTA GRACIA,78.6,CABAÑA,W.F,LLAVE EN MANO,MADERA,VENDIDO,51.0,37011000.0
2025-04-03,Diego Garcia,PLAN 36-60,LA PLATA,64.6,MINIMALISTA,W.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,745.0,21004000.0
2024-05-16,Elena Martinez,PLAN 36-60,BUENOS AIRES,41.1,CABAÑA,S.F,OBRA GRIS,MADERA,VENDIDO,662.0,15128000.0
2025-08-10,Maria Rodriguez,CONTADO,BUENOS AIRES,83.0,AMERICANA,W.F,OBRA GRIS,,POTABLE,708.0,28518000.0
2025-06-30,Ana Garcia,CONTADO,ALTA GRACIA,32.2,CABAÑA,S.F,OBRA GRIS,LADRILLO,NO LE INTERESA,40.0,11644000.0
2025-05-27,Ana Gonzalez,CONTADO,LA PLATA,47.5,MINIMALISTA,W.F,OBRA GRIS,MADERA,POTABLE,775.0,16829000.0
2024-10-22,Elena Sanchez,CONTADO,BUENOS AIRES,50.9,MINIMALISTA,W.F,OBRA GRIS,LADRILLO,POTABLE,718.0,16662000.0
2024-11-15,Luis Garcia,CONTADO,CÓRDOBA CAPITAL,67.1,CABAÑA,E.E,OBRA GRIS,PIEDRA NATURAL,POTABLE,12.0,18116000.0
2025-07-25,Juan Martinez,CONTADO,SANTIAGO DEL ESTERO,77.3,AMERICANA,W.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,407.0,37004000.0
2024-12-14,Luis Rodriguez,PLAN 36-60,LA PLATA,76.1,CABAÑA,S.F,OBRA GRIS,LADRILLO,POTABLE,786.0,26650000.0
2026-02-17,Jorge Perez,CONTADO,SANTIAGO DEL ESTERO,59.5,MINIMALISTA,W.F,LLAVE EN MANO,MADERA,NO LE INTERESA,459.0,26352000.0
2024-08-16,Maria Perez,CONTADO,CARLOS PAZ,49.4,CABAÑA,W.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,51.0,23096000.0
2024-09-26,Pedro Perez,NO SABE,BUENOS AIRES,20.0,CABAÑA,E.E,OBRA GRIS,MADERA,POTABLE,686.0,6723000.0
2024-10-17,Lucia Garcia,PLAN 36-60,LA PLATA,28.7,AMERICANA,S.F,LLAVE EN MANO,MADERA,POTABLE,775.0,15000000.0
2025-12-25,Pedro Gonzalez,CONTADO,CÓRDOBA CAPITAL,90.3,CABAÑA,S.F,OBRA GRIS,MADERA,NO LE INTERESA,8.0,30560000.0
2024-06-13,Elena Garcia,PLAN 36-60,ALTA GRACIA,20.0,AMERICANA,S.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,42.0,10242000.0
2024-01-05,Lucia Garcia,CONTADO,CÓRDOBA CAPITAL,39.3,CABAÑA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,21.0,11575000.0
2025-01-13,Luis Martinez,CONTADO,SANTIAGO DEL ESTERO,77.9,CABAÑA,W.F,OBRA GRIS,MADERA,POTABLE,483.0,24647000.0
2024-03-18,Diego Perez,CONTADO,ALTA GRACIA,59.2,AMERICANA,S.F,OBRA GRIS,LADRILLO,POTABLE,43.0,20897000.0
2025-02-13,Luis Romero,NO SABE,CÓRDOBA CAPITAL,73.6,AMERICANA,W.F,OBRA GRIS,LADRILLO,POTABLE,25.0,23170000.0
2025-07-27,Juan Gonzalez,FINANCIACION PROPIA,CÓRDOBA CAPITAL,65.9,MINIMALISTA,W.F,OBRA GRIS,,VENDIDO,22.0,21959000.0
2024-05-11,Ana Lopez,FINANCIACION PROPIA,CÓRDOBA CAPITAL,84.4,AMERICANA,W.F,LLAVE EN MANO,MADERA,NO LE INTERESA,14.0,37483000.0
2025-08-23,Luis Rodriguez,NO SABE,MENDIOLAZA,60.9,CABAÑA,E.E,OBRA GRIS,LADRILLO,VENDIDO,42.0,17482000.0
2026-01-18,Pedro Romero,NO SABE,ALTA GRACIA,68.3,MINIMALISTA,W.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,48.0,22152000.0
2024-02-11,Lucia Gonzalez,FINANCIACION PROPIA,CÓRDOBA CAPITAL,,AMERICANA,E.E,LLAVE EN MANO,LADRILLO,NO LE INTERESA,21.0,15974000.0
2024-03-29,Pedro Garcia,PLAN 36-60,BUENOS AIRES,66.7,AMERICANA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,710.0,20448000.0
2025-02-05,Jorge Sanchez,CONTADO,BUENOS AIRES,47.1,MINIMALISTA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,705.0,19463000.0
2024-10-22,Jorge Perez,CONTADO,CÓRDOBA CAPITAL,45.9,CABAÑA,S.F,OBRA GRIS,,NO LE INTERESA,26.0,16661000.0
2024-10-21,Elena Garcia,PLAN 36-60,SANTIAGO DEL ESTERO,72.9,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,429.0,28821000.0
2025-09-07,Lucia Rodriguez,PLAN 36-60,CÓRDOBA CAPITAL,73.0,MINIMALISTA,S.F,OBRA GRIS,LADRILLO,POTABLE,6.0,24728000.0
2025-06-09,Jorge Perez,NO SABE,BUENOS AIRES,88.8,CABAÑA,E.E,OBRA GRIS,MADERA,POTABLE,748.0,25870000.0
2025-11-21,Lucia Lopez,PLAN 36-60,CÓRDOBA CAPITAL,87.5,AMERICANA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,26.0,34333000.0
2025-09-28,Luis Garcia,PLAN 36-60,CARLOS PAZ,73.3,CABAÑA,E.E,LLAVE EN MANO,LADRILLO,POTABLE,39.0,28730000.0
2025-02-25,Juan Garcia,PLAN 36-60,ALTA GRACIA,20.6,AMERICANA,E.E,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,40.0,8386000.0
2024-01-23,Ana Martinez,CONTADO,CARLOS PAZ,91.6,CABAÑA,W.F,LLAVE EN MANO,PIEDRA NATURAL,VENDIDO,47.0,41631000.0
2025-07-28,Ana Rodriguez,PLAN 36-60,MENDIOLAZA,73.4,AMERICANA,W.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,22.0,34408000.0
2024-05-22,Jorge Perez,PLAN 36-60,SANTIAGO DEL ESTERO,39.7,MINIMALISTA,E.E,OBRA GRIS,MADERA,POTABLE,442.0,11796000.0
2025-10-26,Carla Lopez,,CARLOS PAZ,69.6,AMERICANA,W.F,OBRA GRIS,LADRILLO,NO LE INTERESA,32.0,21841000.0
2024-05-24,Lucia Martinez,,MENDIOLAZA,34.3,CABAÑA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,35.0,16235000.0
2024-08-12,Ana Romero,CONTADO,LA PLATA,67.4,AMERICANA,W.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,713.0,32612000.0
2025-05-17,Pedro Perez,PLAN 36-60,ALTA GRACIA,28.7,CABAÑA,W.F,LLAVE EN MANO,MADERA,NO LE INTERESA,51.0,12437000.0
2025-09-07,Juan Rodriguez,PLAN 36-60,CÓRDOBA CAPITAL,38.8,CABAÑA,W.F,OBRA GRIS,PIEDRA NATURAL,POTABLE,22.0,12048000.0
2024-04-13,Diego Martinez,PLAN 36-60,CARLOS PAZ,69.2,AMERICANA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,42.0,18591000.0
2024-02-08,Lucia Romero,PLAN 36-60,CARLOS PAZ,76.5,CABAÑA,S.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,34.0,37250000.0
2024-07-16,Pedro Garcia,CONTADO,CÓRDOBA CAPITAL,61.5,MINIMALISTA,E.E,OBRA GRIS,LADRILLO,POTABLE,8.0,17288000.0
2025-10-07,Luis Perez,CONTADO,CÓRDOBA CAPITAL,49.3,CABAÑA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,13.0,23016000.0
2025-08-01,Maria Lopez,CONTADO,SANTIAGO DEL ESTERO,20.0,MINIMALISTA,E.E,OBRA GRIS,,VENDIDO,447.0,6280000.0
2025-01-25,Carla Lopez,PLAN 36-60,CARLOS PAZ,50.8,MINIMALISTA,W.F,LLAVE EN MANO,MADERA,NO LE INTERESA,46.0,22726000.0
2024-06-27,Pedro Martinez,PLAN 36-60,CARLOS PAZ,65.7,CABAÑA,S.F,LLAVE EN MANO,PIEDRA NATURAL,VENDIDO,30.0,33120000.0
2025-07-07,Carla Gonzalez,FINANCIACION PROPIA,BUENOS AIRES,48.7,MINIMALISTA,W.F,OBRA GRIS,LADRILLO,NO LE INTERESA,731.0,17331000.0
2025-03-23,Elena Garcia,CONTADO,LA PLATA,54.5,MINIMALISTA,S.F,OBRA GRIS,MADERA,POTABLE,781.0,20621000.0
2025-05-14,Juan Gonzalez,CONTADO,BUENOS AIRES,51.3,AMERICANA,S.F,LLAVE EN MANO,MADERA,POTABLE,704.0,26124000.0
2024-01-15,Pedro Lopez,PLAN 36-60,MENDIOLAZA,48.6,MINIMALISTA,E.E,LLAVE EN MANO,LADRILLO,VENDIDO,29.0,18553000.0
2025-09-14,Carla Romero,PLAN 36-60,LA PLATA,56.5,MINIMALISTA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,794.0,17601000.0
2025-10-30,Pedro Lopez,PLAN 36-60,BUENOS AIRES,49.5,MINIMALISTA,W.F,LLAVE EN MANO,MADERA,VENDIDO,738.0,23051000.0
2024-10-15,Carla Romero,FINANCIACION PROPIA,CARLOS PAZ,83.9,MINIMALISTA,W.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,55.0,37360000.0
2025-04-22,Carla Gonzalez,FINANCIACION PROPIA,LA PLATA,20.0,MINIMALISTA,S.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,747.0,11375000.0
2024-08-18,Elena Lopez,CONTADO,CARLOS PAZ,44.1,CABAÑA,S.F,LLAVE EN MANO,,POTABLE,53.0,22720000.0
2025-02-23,Ana Garcia,NO SABE,ALTA GRACIA,37.6,MINIMALISTA,E.E,LLAVE EN MANO,MADERA,POTABLE,37.0,15384000.0
2024-06-05,Lucia Martinez,CONTADO,SANTIAGO DEL ESTERO,,CABAÑA,E.E,LLAVE EN MANO,MADERA,POTABLE,441.0,25139000.0
2025-07-03,Carla Lopez,PLAN 36-60,LA PLATA,56.5,CABAÑA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,757.0,17581000.0
2025-03-16,Pedro Lopez,PLAN 36-60,CARLOS PAZ,87.4,CABAÑA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,41.0,25035000.0
2024-04-06,Carla Romero,PLAN 36-60,LA PLATA,94.0,AMERICANA,E.E,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,773.0,37224000.0
2025-02-14,Jorge Garcia,CONTADO,MENDIOLAZA,39.5,AMERICANA,S.F,LLAVE EN MANO,MADERA,POTABLE,24.0,20269000.0
2024-10-15,Elena Lopez,CONTADO,SANTIAGO DEL ESTERO,55.0,CABAÑA,S.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,487.0,20733000.0
2024-09-10,Pedro Martinez,PLAN 36-60,ALTA GRACIA,58.9,AMERICANA,W.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,49.0,25935000.0
2024-07-14,Diego Romero,CONTADO,CÓRDOBA CAPITAL,39.0,MINIMALISTA,S.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,28.0,13677000.0
2025-08-20,Pedro Rodriguez,CONTADO,CÓRDOBA CAPITAL,67.6,CABAÑA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,5.0,18121000.0
2025-06-05,Lucia Lopez,PLAN 36-60,LA PLATA,50.2,CABAÑA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,773.0,26925000.0
2025-05-31,Lucia Perez,PLAN 36-60,CARLOS PAZ,33.6,CABAÑA,S.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,40.0,16644000.0
2025-09-26,Ana Lopez,PLAN 36-60,MENDIOLAZA,49.4,AMERICANA,S.F,LLAVE EN MANO,PIEDRA NATURAL,VENDIDO,33.0,23637000.0
2024-04-27,Luis Martinez,CONTADO,SANTIAGO DEL ESTERO,35.0,AMERICANA,W.F,OBRA GRIS,MADERA,NO LE INTERESA,474.0,11732000.0
2024-06-07,Maria Gonzalez,FINANCIACION PROPIA,ALTA GRACIA,75.7,AMERICANA,W.F,OBRA GRIS,MADERA,POTABLE,41.0,25611000.0
2024-08-15,Carla Lopez,CONTADO,ALTA GRACIA,93.0,MINIMALISTA,S.F,LLAVE EN MANO,LADRILLO,POTABLE,40.0,46158000.0
2024-08-03,Carla Martinez,FINANCIACION PROPIA,BUENOS AIRES,59.9,AMERICANA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,730.0,30205000.0
2025-11-26,Luis Perez,PLAN 36-60,ALTA GRACIA,57.2,CABAÑA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,48.0,22494000.0
2024-01-15,Maria Sanchez,PLAN 36-60,CÓRDOBA CAPITAL,58.0,AMERICANA,W.F,OBRA GRIS,LADRILLO,NO LE INTERESA,11.0,17942000.0
2024-06-05,Luis Gonzalez,FINANCIACION PROPIA,SANTIAGO DEL ESTERO,78.6,AMERICANA,E.E,LLAVE EN MANO,LADRILLO,POTABLE,448.0,30145000.0
2025-10-09,Jorge Lopez,CONTADO,BUENOS AIRES,78.2,AMERICANA,E.E,OBRA GRIS,LADRILLO,NO LE INTERESA,706.0,23168000.0
2024-09-17,Lucia Martinez,CONTADO,CÓRDOBA CAPITAL,,AMERICANA,S.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,22.0,25887000.0
2024-06-05,Diego Sanchez,PLAN 36-60,LA PLATA,60.1,CABAÑA,S.F,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,710.0,30084000.0
2024-02-16,Pedro Rodriguez,CONTADO,ALTA GRACIA,68.1,AMERICANA,S.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,50.0,24068000.0
2024-11-19,Ana Perez,PLAN 36-60,SANTIAGO DEL ESTERO,32.2,CABAÑA,E.E,OBRA GRIS,PIEDRA NATURAL,VENDIDO,461.0,9293000.0
2025-11-15,Pedro Lopez,CONTADO,ALTA GRACIA,79.3,AMERICANA,E.E,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,54.0,23274000.0
2024-05-09,Jorge Romero,FINANCIACION PROPIA,CÓRDOBA CAPITAL,89.7,MINIMALISTA,E.E,OBRA GRIS,LADRILLO,POTABLE,27.0,24638000.0
2025-02-14,Carla Martinez,PLAN 36-60,CÓRDOBA CAPITAL,78.3,MINIMALISTA,S.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,16.0,26254000.0
2024-04-04,Diego Gonzalez,CONTADO,CÓRDOBA CAPITAL,30.1,CABAÑA,S.F,OBRA GRIS,LADRILLO,POTABLE,14.0,10207000.0
2025-09-18,Pedro Rodriguez,FINANCIACION PROPIA,ALTA GRACIA,20.0,CABAÑA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,38.0,9458000.0
2026-01-24,Lucia Romero,CONTADO,SANTIAGO DEL ESTERO,69.2,MINIMALISTA,E.E,OBRA GRIS,PIEDRA NATURAL,POTABLE,434.0,19383000.0
2024-10-18,Juan Romero,CONTADO,SANTIAGO DEL ESTERO,39.8,MINIMALISTA,E.E,LLAVE EN MANO,MADERA,POTABLE,407.0,16077000.0
2024-10-09,Pedro Lopez,CONTADO,LA PLATA,60.7,AMERICANA,W.F,LLAVE EN MANO,,POTABLE,790.0,29228000.0
2024-03-09,Luis Gonzalez,PLAN 36-60,ALTA GRACIA,85.7,MINIMALISTA,S.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,55.0,41118000.0
2025-10-21,Elena Perez,PLAN 36-60,LA PLATA,41.9,CABAÑA,E.E,OBRA GRIS,LADRILLO,POTABLE,752.0,12778000.0
2024-01-11,Maria Rodriguez,PLAN 36-60,MENDIOLAZA,,CABAÑA,W.F,OBRA GRIS,MADERA,POTABLE,26.0,15958000.0
2024-09-10,Lucia Gonzalez,,LA PLATA,60.5,MINIMALISTA,E.E,LLAVE EN MANO,PIEDRA NATURAL,NO LE INTERESA,722.0,24293000.0
2025-07-03,Diego Sanchez,NO SABE,LA PLATA,29.0,CABAÑA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,795.0,12931000.0
2024-05-13,Diego Perez,,LA PLATA,39.8,AMERICANA,S.F,LLAVE EN MANO,MADERA,NO LE INTERESA,798.0,19991000.0
2025-12-12,Luis Romero,CONTADO,CÓRDOBA CAPITAL,55.5,AMERICANA,W.F,OBRA GRIS,PIEDRA NATURAL,NO LE INTERESA,12.0,17314000.0
2024-01-23,Jorge Martinez,FINANCIACION PROPIA,MENDIOLAZA,49.0,MINIMALISTA,E.E,LLAVE EN MANO,MADERA,NO LE INTERESA,36.0,19178000.0
2024-12-11,Ana Romero,PLAN 36-60,BUENOS AIRES,67.2,CABAÑA,W.F,OBRA GRIS,LADRILLO,NO LE INTERESA,686.0,22065000.0
2024-10-28,Lucia Garcia,CONTADO,LA PLATA,110.3,MINIMALISTA,W.F,LLAVE EN MANO,LADRILLO,NO LE INTERESA,733.0,52871000.0
2024-12-28,Ana Perez,CONTADO,SANTIAGO DEL ESTERO,57.0,CABAÑA,S.F,OBRA GRIS,MADERA,NO LE INTERESA,402.0,19630000.0
2025-01-30,Ana Perez,CONTADO,LA PLATA,38.2,CABAÑA,W.F,OBRA GRIS,MADERA,NO LE INTERESA,768.0,13583000.0
2024-08-05,Luis Romero,FINANCIACION PROPIA,CÓRDOBA CAPITAL,83.4,CABAÑA,S.F,LLAVE EN MANO,PIEDRA NATURAL,POTABLE,9.0,41306000.0
2024-05-20,Jorge Romero,PLAN 36-60,CARLOS PAZ,23.2,AMERICANA,S.F,OBRA GRIS,LADRILLO,NO LE INTERESA,30.0,7811000.0
